T_K,scenario,Ecalc,t_star_s,sigma_s
1183.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9838277422313533,3.6042777528368624,110.22927689594357
1184.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9842512201242998,3.508891259082058,110.22927689594357
1184.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9846581665336244,3.4172800888584036,110.22927689594357
1185.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.985049485581367,3.3292346494614784,110.22927689594357
1185.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9854260171173239,3.244560474853158,110.22927689594357
1186.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9857885423253139,3.163076886302034,110.22927689594357
1186.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9861377887526891,3.08461579284496,110.22927689594357
1187.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9864744348312386,3.009020614832282,110.22927689594357
1187.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9867991139485146,2.9361453160700437,110.22927689594357
1188.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.987112418120812,2.865853531988836,110.22927689594357
1188.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9874149013125695,2.7980177829052963,110.22927689594357
1189.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9877070824413061,2.7325187628416043,110.22927689594357
1189.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.987989448102254,2.669244695570925,110.22927689594357
1190.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9882624550427791,2.608090750589587,110.22927689594357
1190.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9885265324129079,2.5489585126096457,110.22927689594357
1191.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9887820838153702,2.4917554989355404,110.22927689594357
1191.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9890294891755697,2.4363947197576157,110.22927689594357
1192.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.989269106449681,2.3827942769747907,110.22927689594357
1192.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9895012731871269,2.3308769976648147,110.22927689594357
1193.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9897263079614551,2.2805700987602893,110.22927689594357
1193.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9899445116826814,2.231804879874444,110.22927689594357
1194.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9901561688021261,2.18451644155788,110.22927689594357
1194.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9903615484200232,2.1386434265632133,110.22927689594357
1195.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9905609053048992,2.0941277819552977,110.22927689594357
1160.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.7524085682584954,178.19543005784976,297.6190476190476
1160.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.7921530366774375,144.52817904336968,297.6190476190476
1161.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.8213368370137231,121.26791056596728,297.6190476190476
1161.5,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.8436533891940844,104.23777886383492,297.6190476190476
1162.0,"high make-up (F0/FCa=0.12, Xcarb=0.3)",0.8612606443159835,91.23234257508989,297.6190476190476
