T_K,NCa_mol_per_m2,Ecalc,t_star_s,sigma_s
1183.0,5000.0,0.9658029147850753,7.407331576131759,105.82010582010582
1183.0,5500.0,0.9688464592291305,7.407331576131759,116.4021164021164
1183.0,6000.0,0.9713925751071335,7.407331576131759,126.98412698412699
1183.0,6500.0,0.9735539880596333,7.407331576131759,137.56613756613757
1183.0,7000.0,0.9754117575431429,7.407331576131759,148.14814814814815
1183.0,7500.0,0.9770256658445389,7.407331576131759,158.73015873015873
1183.0,8000.0,0.9784407690629203,7.407331576131759,169.31216931216932
1183.0,8500.0,0.97969166824012,7.407331576131759,179.8941798941799
1183.0,9000.0,0.9808053755165286,7.407331576131759,190.47619047619048
1183.0,9500.0,0.9818032864560593,7.407331576131759,201.05820105820106
1183.0,10000.0,0.9827025676665248,7.407331576131759,211.64021164021165
1183.0,10500.0,0.9835171524156231,7.407331576131759,222.22222222222223
1183.0,11000.0,0.9842584676279048,7.407331576131759,232.8042328042328
1183.0,11500.0,0.9849359731749397,7.407331576131759,243.3862433862434
1183.0,12000.0,0.985557567666928,7.407331576131759,253.96825396825398
1183.0,12500.0,0.9861298977720078,7.407331576131759,264.55026455026456
1183.0,13000.0,0.9866585968005535,7.407331576131759,275.13227513227514
1183.0,13500.0,0.9871484707329389,7.407331576131759,285.7142857142857
1183.0,14000.0,0.9876036447190908,7.407331576131759,296.2962962962963
1183.0,14500.0,0.9880276795135798,7.407331576131759,306.8783068783069
1183.0,15000.0,0.9884236648062383,7.407331576131759,317.46031746031747
1193.0,3000.0,0.9649259083917349,4.5611401975205785,63.492063492063494
1193.0,3500.0,0.9698346160389,4.5611401975205785,74.07407407407408
1193.0,4000.0,0.9735381334004091,4.5611401975205785,84.65608465608466
1193.0,4500.0,0.9764317539956385,4.5611401975205785,95.23809523809524
1193.0,5000.0,0.9787549460559214,4.5611401975205785,105.82010582010582
1193.0,5500.0,0.9806612443793989,4.5611401975205785,116.4021164021164
1193.0,6000.0,0.9822536221994763,4.5611401975205785,126.98412698412699
1193.0,6500.0,0.9836037208161095,4.5611401975205785,137.56613756613757
1193.0,7000.0,0.984762923693758,4.5611401975205785,148.14814814814815
1193.0,7500.0,0.9857690438687992,4.5611401975205785,158.73015873015873
1193.0,8000.0,0.9866505263473688,4.5611401975205785,169.31216931216932
1193.0,8500.0,0.9874291799655781,4.5611401975205785,179.8941798941799
1193.0,9000.0,0.988122005965411,4.5611401975205785,190.47619047619048
1193.0,9500.0,0.9887424535294909,4.5611401975205785,201.05820105820106
1193.0,10000.0,0.9893013013827193,4.5611401975205785,211.64021164021165
1193.0,10500.0,0.9898072892438697,4.5611401975205785,222.22222222222223
1193.0,11000.0,0.9902675781955287,4.5611401975205785,232.8042328042328
1193.0,11500.0,0.9906880917127943,4.5611401975205785,243.3862433862434
1193.0,12000.0,0.9910737719481669,4.5611401975205785,253.96825396825398
1193.0,12500.0,0.9914287748637339,4.5611401975205785,264.55026455026456
1193.0,13000.0,0.9917566205830731,4.5611401975205785,275.13227513227514
1193.0,13500.0,0.9920603105103102,4.5611401975205785,285.7142857142857
1193.0,14000.0,0.9923424194816324,4.5611401975205785,296.2962962962963
1193.0,14500.0,0.9926051689460325,4.5611401975205785,306.8783068783069
1193.0,15000.0,0.9928504855801253,4.5611401975205785,317.46031746031747
