T_K,NCa_mol_per_m2,FCa_Xcarb,FCa,F0,Ecalc
1168.0,2500.0,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8663368913220629
1168.0,2600.502512562814,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8710377735865261
1168.0,2701.005025125628,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8754199197004252
1168.0,2801.5075376884424,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8795146159564835
1168.0,2902.0100502512564,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8833491924124341
1168.0,3002.5125628140704,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8869476277279003
1168.0,3103.0150753768844,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8903310465742891
1168.0,3203.5175879396984,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8935181311883222
1168.0,3304.020100502513,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8965254638392576
1168.0,3404.522613065327,6.1020408163265305,30.51020408163265,1.5255102040816326,0.8993678133458123
1168.0,3505.025125628141,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9020583760054072
1168.0,3605.527638190955,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9046089791654248
1168.0,3706.030150753769,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9070302540138356
1168.0,3806.5326633165832,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9093317828776487
1168.0,3907.035175879397,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9115222253056304
1168.0,4007.537688442211,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9136094264121998
1168.0,4108.040201005026,6.1020408163265305,30.51020408163265,1.5255102040816326,0.915600510323913
1168.0,4208.542713567839,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9175019610620907
1168.0,4309.045226130654,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9193196927870143
1168.0,4409.547738693467,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9210591109994709
1168.0,4510.050251256282,6.1020408163265305,30.51020408163265,1.5255102040816326,0.922725166027896
1168.0,4610.552763819096,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9243223999111864
1168.0,4711.05527638191,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9258549876085446
1168.0,4811.557788944723,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9273267733207164
1168.0,4912.060301507538,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9287413025855334
1168.0,5012.562814070352,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9301018507099859
1168.0,5113.0653266331665,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9314114480172094
1168.0,5213.56783919598,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9326729023167483
1168.0,5314.070351758794,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9338888189477352
1168.0,5414.572864321608,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9350616186952214
1168.0,5515.075376884422,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9361935538382367
1168.0,5615.577889447237,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9372867225528453
1168.0,5716.08040201005,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9383430818635119
1168.0,5816.582914572864,6.1020408163265305,30.51020408163265,1.5255102040816326,0.939364459310548
1168.0,5917.085427135678,6.1020408163265305,30.51020408163265,1.5255102040816326,0.940352563479674
1168.0,6017.587939698493,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9413089935210026
1168.0,6118.090452261307,6.1020408163265305,30.51020408163265,1.5255102040816326,0.9422352477687717
